#Predictions based on model below... 
#
# Call:
#   lm(formula = A2 ~ Year + Year2 + Year3, data = data.frame(A2 = table2$A2, 
#                                                             Year = table2$Year, Year2 = table2$Year * table2$Year, Year3 = (table2$Year)^3))
# 
# Residuals:
#   Min      1Q  Median      3Q     Max 
# -2.3504 -1.5337  0.1563  1.1378  2.9066 
# 
# Coefficients:
#   Estimate Std. Error t value Pr(>|t|)    
# (Intercept) -6.360e+05  8.778e+04  -7.246 2.77e-05 ***
#   Year         9.894e+02  1.295e+02   7.643 1.75e-05 ***
#   Year2       -5.131e-01  6.363e-02  -8.064 1.10e-05 ***
#   Year3        8.875e-05  1.042e-05   8.516 6.78e-06 ***
#   ---
#   Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
# 
# Residual standard error: 1.95 on 10 degrees of freedom
# Multiple R-squared:  0.9999,	Adjusted R-squared:  0.9999 
# F-statistic: 3.327e+04 on 3 and 10 DF,  p-value: < 2.2e-16
#


Year Month CO2
1976 9 331.346410599188
1976 10 331.448380124406
1976 11 331.550529510248
1976 12 331.652859065332
1977 1 331.75536909746
1977 2 331.858059914317
1977 3 331.960931824753
1977 4 332.063985136454
1977 5 332.167220158037
1977 6 332.270637197071
1977 7 332.374236562406
1977 8 332.478018561495
1977 9 332.581983503303
1977 10 332.686131695053
1977 11 332.790463445941
1977 12 332.894979063189
1978 1 332.99967885518
1978 2 333.104563130299
1978 3 333.20963219658
1978 4 333.314886362758
1978 5 333.420325935818
1978 6 333.525951224961
1978 7 333.631762537523
1978 8 333.737760182703
1978 9 333.843944467138
1978 10 333.950315700728
1978 11 334.056874190224
1978 12 334.163620244712
1979 1 334.270554171759
1979 2 334.377676280099
1979 3 334.484986877418
1979 4 334.592486271868
1979 5 334.700174771366
1979 6 334.808052684879
1979 7 334.916120320209
1979 8 335.024377985159
1979 9 335.132825988345
1979 10 335.241464637569
1979 11 335.350294241682
1979 12 335.45931510732
1980 1 335.568527544616
1980 2 335.677931860089
1980 3 335.787528363056
1980 4 335.897317360505
1980 5 336.007299161982
1980 6 336.117474074825
1980 7 336.227842406719
1980 8 336.338404466864
1980 9 336.449160562945
1980 10 336.560111003346
1980 11 336.671256095404
1980 12 336.782596148318
1981 1 336.89413146954
1981 2 337.005862367805
1981 3 337.117789150565
1981 4 337.229912126902
1981 5 337.342231604038
1981 6 337.454747890704
1981 7 337.567461294588
1981 8 337.680372124654
1981 9 337.793480688357
1981 10 337.90678729408
1981 11 338.020292249625
1981 12 338.133995863725
1982 1 338.247898444766
1982 2 338.362000299734
1982 3 338.476301737712
1982 4 338.590803066501
1982 5 338.705504594836
1982 6 338.82040662982
1982 7 338.935509480652
1982 8 339.050813454902
1982 9 339.166318860953
1982 10 339.28202600684
1982 11 339.397935200948
1982 12 339.514046751428
1983 1 339.63036096585
1983 2 339.74687815283
1983 3 339.863598620635
1983 4 339.980522677535
1983 5 340.097650630865
1983 6 340.214982789708
1983 7 340.332519461517
1983 8 340.450260955491
1983 9 340.568207578151
1983 10 340.68635963928
1983 11 340.804717446328
1983 12 340.923281307216
1984 1 341.042051530443
1984 2 341.161028424161
1984 3 341.280212296639
1984 4 341.399603455327
1984 5 341.519202209311
1984 6 341.639008866157
1984 7 341.759023734834
1984 8 341.879247121862
1984 9 341.999679337023
1984 10 342.120320687536
1984 11 342.241171482019
1984 12 342.362232028507
1985 1 342.483502635732
1985 2 342.604983610683
1985 3 342.726675261976
1985 4 342.848577897996
1985 5 342.970691827359
1985 6 343.093017357052
1985 7 343.215554796159
1985 8 343.338304452016
1985 9 343.461266633822
1985 10 343.584441648796
1985 11 343.707829806139
1985 12 343.831431413186
1986 1 343.955246777739
1986 2 344.079276208882
1986 3 344.203520014533
1986 4 344.32797850261
1986 5 344.452651981032
1986 6 344.577540758764
1986 7 344.702645143378
1986 8 344.827965443255
1986 9 344.9535019662
1986 10 345.079255020479
1986 11 345.205224914476
1986 12 345.33141195646
1987 1 345.457816454116
1987 2 345.584438716411
1987 3 345.71127905068
1987 4 345.838337765308
1987 5 345.965615168097
1987 6 346.093111568131
1987 7 346.220827273326
1987 8 346.348762591137
1987 9 346.476917830296
1987 10 346.605293298722
1987 11 346.7338893048
1987 12 346.862706156098
1988 1 346.991744162049
1988 2 347.12100362929
1988 3 347.250484867138
1988 4 347.380188183044
1988 5 347.510113885859
1988 6 347.640262283152
1988 7 347.770633682841
1988 8 347.901228393428
1988 9 348.032046723529
1988 10 348.163088980829
1988 11 348.294355473365
1988 12 348.425846509752
1989 1 348.557562397327
1989 2 348.689503445756
1989 3 348.821669961209
1989 4 348.954062253586
1989 5 349.086680629873
1989 6 349.219525398919
1989 7 349.352596868528
1989 8 349.485895347432
1989 9 349.619421142968
1989 10 349.753174563404
1989 11 349.887155917357
1989 12 350.021365512745
1990 1 350.155803658185
1990 2 350.29047066113
1990 3 350.425366829964
1990 4 350.560492472723
1990 5 350.695847898256
1990 6 350.83143341355
1990 7 350.967249328154
1990 8 351.103295948706
1990 9 351.239573584753
1990 10 351.376082543517
1990 11 351.512823134079
1990 12 351.649795663659
1991 1 351.78700044041
1991 2 351.924437772832
1991 3 352.062107969658
1991 4 352.20001133834
1991 5 352.338148187147
1991 6 352.476518824231
1991 7 352.615123557393
1991 8 352.753962695948
1991 9 352.893036546535
1991 10 353.032345418818
1991 11 353.171889619553
1991 12 353.31166945782
1992 1 353.451685241307
1992 2 353.591937278863
1992 3 353.732425878057
1992 4 353.873151346692
1992 5 354.0141139935
1992 6 354.15531412675
1992 7 354.296752054477
1992 8 354.438428084482
1992 9 354.580342525383
1992 10 354.722495684749
1992 11 354.864887871547
1992 12 355.007519393112
1993 1 355.15039055841
1993 2 355.29350167478
1993 3 355.436853051069
1993 4 355.580444994965
1993 5 355.724277815199
1993 6 355.868351819227
1993 7 356.01266731543
1993 8 356.157224611845
1993 9 356.302024017437
1993 10 356.44706583966
1993 11 356.592350386432
1993 12 356.737877966603
1994 1 356.883648887509
1994 2 357.029663458467
1994 3 357.175921986229
1994 4 357.322424780345
1994 5 357.469172147685
1994 6 357.616164397448
1994 7 357.763401837088
1994 8 357.910884775571
1994 9 358.058613520232
1994 10 358.206588379224
1994 11 358.354809661163
1994 12 358.503277674317
1995 1 358.651992726605
1995 2 358.800955125829
1995 3 358.950165180606
1995 4 359.09962319897
1995 5 359.249329489539
1995 6 359.399284358951
1995 7 359.549488117336
1995 8 359.699941071332
1995 9 359.850643530022
1995 10 360.001595801325
1995 11 360.152798193274
1995 12 360.304251014139
1996 1 360.455954571837
1996 2 360.60790917452
1996 3 360.760115130688
1996 4 360.912572748493
1996 5 361.065282335854
1996 6 361.218244200922
1996 7 361.371458651847
1996 8 361.524925997015
1996 9 361.67864654446
1996 10 361.832620602567
1996 11 361.986848478904
1996 12 362.141330482205
1997 1 362.296066920157
1997 2 362.451058101607
1997 3 362.606304334011
1997 4 362.761805925518
1997 5 362.917563184514
1997 6 363.073576419731
1997 7 363.229845938389
1997 8 363.386372049339
1997 9 363.543155060383
1997 10 363.700195279554
1997 11 363.857493015355
1997 12 364.015048575704
1998 1 364.172862269101
1998 2 364.330934403115
1998 3 364.48926528648
